Date,Open,High,Low,Close,Volume
2021-01-18 00:00,103.916,103.924,103.900,103.917,123
2021-01-18 00:01,103.917,103.931,103.904,103.931,151
2021-01-18 00:02,103.931,103.931,103.896,103.896,104
2021-01-18 00:03,103.896,103.901,103.876,103.876,152
2021-01-18 00:04,103.878,103.885,103.870,103.881,131
2021-01-18 00:05,103.882,103.888,103.876,103.877,84
2021-01-18 00:06,103.876,103.879,103.861,103.861,107
2021-01-18 00:07,103.862,103.863,103.845,103.854,97
2021-01-18 00:08,103.856,103.869,103.856,103.862,123
2021-01-18 00:09,103.862,103.868,103.860,103.867,44
2021-01-18 00:10,103.867,103.872,103.861,103.870,67
2021-01-18 00:11,103.870,103.870,103.857,103.858,55
2021-01-18 00:12,103.859,103.877,103.858,103.874,49
2021-01-18 00:13,103.876,103.885,103.856,103.856,96
2021-01-18 00:14,103.856,103.863,103.851,103.858,63
2021-01-18 00:15,103.858,103.865,103.851,103.861,103
2021-01-18 00:16,103.861,103.864,103.850,103.853,84
2021-01-18 00:17,103.853,103.854,103.851,103.852,32
2021-01-18 00:18,103.852,103.857,103.842,103.856,98
2021-01-18 00:19,103.856,103.863,103.853,103.855,54
2021-01-18 00:20,103.856,103.857,103.842,103.842,57
2021-01-18 00:21,103.841,103.846,103.827,103.828,76
2021-01-18 00:22,103.832,103.832,103.815,103.824,113
2021-01-18 00:23,103.825,103.838,103.823,103.824,58
2021-01-18 00:24,103.823,103.828,103.813,103.820,69
2021-01-18 00:25,103.819,103.822,103.796,103.801,111
2021-01-18 00:26,103.805,103.809,103.796,103.803,56
2021-01-18 00:27,103.804,103.822,103.804,103.822,54
2021-01-18 00:28,103.822,103.829,103.820,103.829,38
2021-01-18 00:29,103.828,103.834,103.823,103.832,47
2021-01-18 00:30,103.833,103.839,103.823,103.826,74
2021-01-18 00:31,103.826,103.835,103.821,103.833,92
2021-01-18 00:32,103.833,103.836,103.828,103.831,66
2021-01-18 00:33,103.831,103.835,103.829,103.831,26
2021-01-18 00:34,103.832,103.838,103.831,103.835,61
2021-01-18 00:35,103.836,103.836,103.828,103.832,68
2021-01-18 00:36,103.833,103.851,103.833,103.846,65
2021-01-18 00:37,103.845,103.845,103.829,103.834,77
2021-01-18 00:38,103.836,103.836,103.820,103.824,57
2021-01-18 00:39,103.822,103.822,103.813,103.819,63
2021-01-18 00:40,103.816,103.849,103.816,103.847,77
2021-01-18 00:41,103.846,103.851,103.841,103.847,56
2021-01-18 00:42,103.847,103.847,103.838,103.838,44
2021-01-18 00:43,103.838,103.840,103.836,103.837,19
2021-01-18 00:44,103.835,103.835,103.826,103.832,66
2021-01-18 00:45,103.831,103.834,103.830,103.834,22
2021-01-18 00:46,103.834,103.842,103.833,103.842,48
2021-01-18 00:47,103.841,103.844,103.839,103.844,23
2021-01-18 00:48,103.845,103.850,103.841,103.847,54
2021-01-18 00:49,103.845,103.854,103.842,103.846,45
2021-01-18 00:50,103.847,103.847,103.840,103.840,19
2021-01-18 00:51,103.840,103.844,103.830,103.830,46
2021-01-18 00:52,103.830,103.830,103.821,103.824,58
2021-01-18 00:53,103.823,103.844,103.823,103.843,78
2021-01-18 00:54,103.843,103.849,103.808,103.821,153
2021-01-18 00:55,103.823,103.827,103.796,103.804,143
2021-01-18 00:56,103.805,103.813,103.805,103.808,50
2021-01-18 00:57,103.808,103.811,103.804,103.808,38
2021-01-18 00:58,103.808,103.813,103.807,103.812,34
2021-01-18 00:59,103.813,103.818,103.808,103.814,34
2021-01-18 01:00,103.814,103.814,103.794,103.800,61
2021-01-18 01:01,103.799,103.829,103.799,103.826,55
2021-01-18 01:02,103.826,103.829,103.818,103.821,45
2021-01-18 01:03,103.821,103.822,103.812,103.817,64
2021-01-18 01:04,103.814,103.816,103.799,103.802,53
2021-01-18 01:05,103.802,103.813,103.800,103.805,51
2021-01-18 01:06,103.806,103.810,103.802,103.808,28
2021-01-18 01:07,103.806,103.810,103.787,103.795,78
2021-01-18 01:08,103.789,103.793,103.784,103.786,57
2021-01-18 01:09,103.785,103.785,103.761,103.779,117
2021-01-18 01:10,103.780,103.792,103.777,103.788,60
2021-01-18 01:11,103.789,103.793,103.787,103.789,38
2021-01-18 01:12,103.788,103.791,103.778,103.778,79
2021-01-18 01:13,103.779,103.783,103.774,103.775,33
2021-01-18 01:14,103.774,103.774,103.763,103.767,91
2021-01-18 01:15,103.766,103.774,103.766,103.773,79
2021-01-18 01:16,103.771,103.771,103.754,103.763,69
2021-01-18 01:17,103.762,103.768,103.758,103.760,65
2021-01-18 01:18,103.762,103.762,103.756,103.759,46
2021-01-18 01:19,103.761,103.767,103.754,103.767,71
2021-01-18 01:20,103.766,103.775,103.766,103.772,70
2021-01-18 01:21,103.771,103.774,103.771,103.773,25
2021-01-18 01:22,103.772,103.777,103.768,103.769,33
2021-01-18 01:23,103.769,103.769,103.760,103.761,45
2021-01-18 01:24,103.760,103.766,103.757,103.762,56
2021-01-18 01:25,103.762,103.762,103.744,103.747,43
2021-01-18 01:26,103.747,103.752,103.742,103.750,107
2021-01-18 01:27,103.751,103.756,103.747,103.749,113
2021-01-18 01:28,103.748,103.748,103.736,103.736,120
2021-01-18 01:29,103.735,103.741,103.728,103.738,168
2021-01-18 01:30,103.738,103.742,103.726,103.726,131
2021-01-18 01:31,103.726,103.736,103.725,103.734,108
2021-01-18 01:32,103.735,103.737,103.721,103.730,76
2021-01-18 01:33,103.728,103.728,103.716,103.716,109
2021-01-18 01:34,103.717,103.731,103.715,103.728,154
2021-01-18 01:35,103.729,103.738,103.722,103.723,216
2021-01-18 01:36,103.724,103.730,103.723,103.723,66
2021-01-18 01:37,103.724,103.726,103.717,103.717,77
2021-01-18 01:38,103.719,103.730,103.717,103.728,55
2021-01-18 01:39,103.730,103.735,103.729,103.732,45
2021-01-18 01:40,103.733,103.749,103.731,103.746,137
2021-01-18 01:41,103.749,103.752,103.732,103.736,124
2021-01-18 01:42,103.737,103.747,103.732,103.737,114
2021-01-18 01:43,103.737,103.737,103.732,103.734,43
2021-01-18 01:44,103.734,103.734,103.724,103.730,98
2021-01-18 01:45,103.730,103.732,103.724,103.724,82
2021-01-18 01:46,103.724,103.730,103.717,103.724,74
2021-01-18 01:47,103.723,103.742,103.717,103.730,108
2021-01-18 01:48,103.728,103.730,103.723,103.729,103
2021-01-18 01:49,103.728,103.728,103.723,103.725,34
2021-01-18 01:50,103.725,103.727,103.722,103.727,63
2021-01-18 01:51,103.726,103.726,103.717,103.717,81
2021-01-18 01:52,103.717,103.724,103.716,103.724,23
2021-01-18 01:53,103.724,103.733,103.724,103.730,45
2021-01-18 01:54,103.732,103.732,103.727,103.727,19
2021-01-18 01:55,103.725,103.726,103.714,103.723,75
2021-01-18 01:56,103.723,103.726,103.718,103.720,70
2021-01-18 01:57,103.720,103.720,103.705,103.705,42
2021-01-18 01:58,103.705,103.728,103.705,103.726,57
2021-01-18 01:59,103.727,103.732,103.723,103.726,81
2021-01-18 02:00,103.723,103.727,103.713,103.721,100
2021-01-18 02:01,103.721,103.724,103.711,103.711,40
2021-01-18 02:02,103.709,103.710,103.704,103.710,48
2021-01-18 02:03,103.709,103.709,103.695,103.702,112
2021-01-18 02:04,103.703,103.703,103.690,103.690,43
2021-01-18 02:05,103.690,103.702,103.689,103.701,76
2021-01-18 02:06,103.702,103.702,103.698,103.699,17
2021-01-18 02:07,103.695,103.696,103.688,103.689,55
2021-01-18 02:08,103.689,103.706,103.689,103.706,73
2021-01-18 02:09,103.704,103.706,103.698,103.706,58
2021-01-18 02:10,103.707,103.726,103.706,103.725,65
2021-01-18 02:11,103.726,103.734,103.724,103.727,55
2021-01-18 02:12,103.728,103.730,103.723,103.727,38
2021-01-18 02:13,103.727,103.732,103.718,103.722,62
2021-01-18 02:14,103.720,103.726,103.707,103.721,134
2021-01-18 02:15,103.722,103.728,103.715,103.716,72
2021-01-18 02:16,103.716,103.735,103.716,103.725,62
2021-01-18 02:17,103.724,103.736,103.716,103.720,188
2021-01-18 02:18,103.720,103.734,103.714,103.716,191
2021-01-18 02:19,103.718,103.733,103.716,103.719,189
2021-01-18 02:20,103.721,103.736,103.720,103.728,71
